version,0.288,,,,,,,,,,,,,,,,
Label,Description,P_Familj,Group Name,Variable Name,Internet link,Latin,p_Smaprov,P_Stora,P_BuskarTrad,P_Barande,P_Habitat,P_hävd,P_Mossor,P_Fukt,P_KalkSilikat,P_sida_nordiskafloran,Datum införande
Kaprifol/vildkaprifol,,Kaprifolväxter,BarandeTB,Kaprifol,https://sv.wikipedia.org/wiki/Kaprifol/vildkaprifol,Lonicera caprifolium/L. periclymenum,,,Buskar,,,,,,,,2015-08-13
Snöbär,,Kaprifolväxter,BarandeTB,Snobar,https://sv.wikipedia.org/wiki/Sn%C3%B6b%C3%A4r,Symphoricarpos albus,,,Buskar,,,,,,,,2015-08-13
Apel,,Rosväxter,BarandeTB,Apel,http://sv.wikipedia.org/wiki/%C3%84pple,Malus sylvestris/M.domesticus,,,Träd,,,,,,,,2015-08-13
Björnbär,,Rosväxter,BarandeTB,Bjornbar,https://sv.wikipedia.org/wiki/Bj%C3%B6rnb%C3%A4r,Rubus Rubus,,,Buskar,,,,,,,,2015-08-13
Blåhallon,,Rosväxter,BarandeTB,Blahallon,https://sv.wikipedia.org/wiki/Bl%C3%A5hallon,Rubus caesius,,,Buskar,,,,,,,,2015-08-13
Hagtorn,,Rosväxter,BarandeTB,Hagtorn,https://sv.wikipedia.org/wiki/Hagtorn,Crataegus,,,Buskar,,,,,,,,2015-08-13
Hallon,,Rosväxter,BarandeTB,Hallon,https://sv.wikipedia.org/wiki/Hallon,Rubus idaeus,,,Buskar,,,,,,,,2015-08-13
Hägg,,Rosväxter,BarandeTB,Hagg,https://sv.wikipedia.org/wiki/H%C3%A4gg,Prunus padus,,,Träd,,,,,,,,2015-08-13
Häggmisplar,,Rosväxter,BarandeTB,Haggmisplar,https://sv.wikipedia.org/wiki/H%C3%A4ggmisplar,Amelanchier,,,Buskar,,,,,,,,2015-08-13
Krusbär,,Rosväxter,BarandeTB,Krusbar,https://sv.wikipedia.org/wiki/Krusb%C3%A4r,Ribes uva-crispa,,,Buskar,,,,,,,,2015-08-13
Måbär,,Rosväxter,BarandeTB,Mabar,https://sv.wikipedia.org/wiki/M%C3%A5b%C3%A4r,Ribes alpinum,,,Buskar,,,,,,,,2015-08-13
Oxlar,"Bären äro smakelige at äta; men hafwa den olägenheten, at de förorsaka mycket wäder. Af torkade bären kan bröd bakas, brännewin brännas, och dricka bryggas (CvL)",Rosväxter,BarandeTB,Oxlar,https://sv.wikipedia.org/wiki/Oxlar,Sorbus intermedia,,,Träd,,,,,,,,2015-08-13
Plommon,,Rosväxter,BarandeTB,Plommon,https://sv.wikipedia.org/wiki/Plommon,Prunus domestica,,,Träd,,,,,,,,2015-08-13
Päron,,Rosväxter,BarandeTB,Paron,https://sv.wikipedia.org/wiki/P%C3%A4ron,Pyrus communis,,,Träd,,,,,,,,2015-08-13
Rosor övriga,,Rosväxter,BarandeTB,Rosor_ovriga,https://sv.wikipedia.org/wiki/Rossl%C3%A4ktet,Rosa spp.,,,Buskar,,,,,,,,2015-08-13
Rönn,,Rosväxter,BarandeTB,Ronn,https://sv.wikipedia.org/wiki/R%C3%B6nn,Sorbus aucuparia,,,Träd,,,,,,,,2015-08-13
Slån,,Rosväxter,BarandeTB,Slan,https://sv.wikipedia.org/wiki/Sl%C3%A5n,Prunus spinosa,,,Buskar,,,,,,,,2015-08-13
Sötkörsbär,,Rosväxter,BarandeTB,Sotkorsbar,https://sv.wikipedia.org/wiki/S%C3%B6tk%C3%B6rsb%C3%A4r,Prunus avium,,,Träd,,,,,,,,2015-08-13
Vinbär,,Rosväxter,BarandeTB,Vinbar,https://sv.wikipedia.org/wiki/Vinb%C3%A4r,Ribes,,,Buskar,,,,,,,,2015-08-13
Vresros,,Rosväxter,BarandeTB,Vresros,https://sv.wikipedia.org/wiki/Vresros,Rosa rugosa,,,Buskar,,,,,,,,2015-08-13
Tibast,,Tibastväxter,BarandeTB,Tibast,https://sv.wikipedia.org/wiki/Tibast,Daphne mezereum,,,Buskar,,,,,,,,2015-08-13
Sälg ,,Videväxter,BarandeTB,Salg,https://sv.wikipedia.org/wiki/S%C3%A4lg,Salix caprea,,,Träd,,,,,,,,2015-08-13
Kantig fetknopp,,Fetbladsväxter,HallMark,Kantig_fetknopp,https://sv.wikipedia.org/wiki/Kantig_fetknopp,Sedum sexangulare,,,,,,,,Torr,,,
Kärleksört,,Fetbladsväxter,HallMark,Karleksort,https://sv.wikipedia.org/wiki/K%C3%A4rleks%C3%B6rt,Hylotelephium telephium,,,,,,,,Torr,,243,
Liten fetknopp,,Fetbladsväxter,HallMark,Liten_fetknopp,https://sv.wikipedia.org/wiki/Liten_fetknopp,Sedum annuum,,,,,,,,Torr,,246,
Vit fetknopp,,Fetbladsväxter,HallMark,Vit_fetknopp,https://sv.wikipedia.org/wiki/Vit_fetknopp,Sedum album,sp,,,,,,,Torr,,246,
Gul fetknopp,,Fetbladsväxter,HallMark,Gul_fetknopp,https://sv.wikipedia.org/wiki/Gul_fetknopp,Sedum acre,,,,,,,,,,246,
Stor fetknopp,,Fetbladsväxter,HallMark,Stor_fetknopp,https://sv.wikipedia.org/wiki/stor_fetknopp,Sedum rupestre,,,,,,,,,Kalk,,
Axveronika,,Grobladsväxter,HallMark,Axveronika,https://sv.wikipedia.org/wiki/Axveronika,Veronica spicata,,,,,,,,Torr,Kalk,357,
Fält-/vårveronika,,Grobladsväxter,HallMark,Falt_varveronika,http://linnaeus.nrm.se/flora/di/scrophularia/veron/veroarv.html,Veronica arvensis/V. verna,,,,,,,,Torr,,544,
Vårbrodd,,Gräs,HallMark,Varbrodd,https://sv.wikipedia.org/wiki/V%C3%A5rbrodd,Anthoxanthum odoratum,,,,,,,,Torr,,865,
Knägräs,,Gräs,HallMark,Knagras,https://sv.wikipedia.org/wiki/Kn%C3%A4gr%C3%A4s,Danthonia decumbens,,,,,,,,,,876,
Luddlosta,,Gräs,HallMark,Luddlosta,https://sv.wikipedia.org/wiki/Luddlosta,Bromus hordeaceus subsp. hordeaceus,,,,,,,,,,849,
Fyrkantig johannesört,,Johannesörtsväxter,HallMark,Fyrkantig_johannesort,https://sv.wikipedia.org/wiki/Fyrkantig_johannes%C3%B6rt,Hypericum maculatum,,,,,,,,,,396,
Äkta johannesört,,Johannesörtsväxter,HallMark,Akta_johannesort,https://sv.wikipedia.org/wiki/%C3%84kta_johannes%C3%B6rt,Hypericum perforatum,,,,,,,,,,396,
Stor blåklocka,,Klockväxter,HallMark,Stor_blaklocka,https://sv.wikipedia.org/wiki/Stor_bl%C3%A5klocka,Campanula persicifolia,,,,,,,,Frisk,,580,
Liten blåklocka,,Klockväxter,HallMark,Liten_blaklocka,https://sv.wikipedia.org/wiki/Liten_bl%C3%A5klocka,Campanula rotundifolia subsp. rotundifolia,,,,,,,,,,580,
Kattfot,,Korgblommiga,HallMark,Kattfot,https://sv.wikipedia.org/wiki/Kattfot,Antennaria dioica,,,,,,,,Torr,,,
Fältmalört,,Korgblommiga,HallMark,Faltmalort,https://sv.wikipedia.org/wiki/F%C3%A4ltmal%C3%B6rt,Artemisia campestris,,,,,,,,,,621,
Gråfibbla,,Korgblommiga,HallMark,Grafibbla,https://sv.wikipedia.org/wiki/Gr%C3%A5fibbla,Pilosella officinarum,,,,,,,,,,676,
Revfibbla,,Korgblommiga,HallMark,Revfibbla,https://sv.wikipedia.org/wiki/Revfibbla,Pilosella lactucella,,,,,,,,,,676,
Backtimjan,,Kransblommiga,HallMark,Backtimjan,https://sv.wikipedia.org/wiki/Backtimjan,Thymus serpyllum,,,,,,,,,,519,
Harmynta,,Kransblommiga,HallMark,Harmynta,https://sv.wikipedia.org/wiki/Harmynta,Clinopodium acinos,,,,,,,,,,518,
Påskrislavar,,Lavar,HallMark,Paskrislavar,https://sv.wikipedia.org/wiki/Stereocaulon,Stereocaulon,,,,,,,Lavar,Torr,,,
Renlavar,,Lavar,HallMark,Renlavar,https://sv.wikipedia.org/wiki/Renlavar,Cladina,,,,,,,Lavar,Torr,,,
Säcklav,,Lavar,HallMark,Sacklav,http://www.nrm.se/faktaomnaturenochrymden/vaxter/kryptogamer/manadenskryptogam/lavar/sacklavarkalkalskandelavar.3706.html,Solorina saccata,,,,,,,Lavar,Torr,Kalk,,
Brosklavar,,Lavar,HallMark,Brosklavar,https://sv.wikipedia.org/wiki/Brosklavar,Ramalina,,,,,,,Lavar,,,,
Filtlavar övriga,,Lavar,HallMark,Filtlavar_ovriga,https://sv.wikipedia.org/wiki/Peltigera,Peltigera,,,,,,,Lavar,,,,
Gelélavar,,Lavar,HallMark,Gelelavar,https://sv.wikipedia.org/wiki/Gelélavar,Collema,,,,,,,Lavar,,,,
Sipperlavar,,Lavar,HallMark,Sipperlavar,https://sv.wikipedia.org/wiki/Sipperlavar,Dermatocarpon,,,,,,,Lavar,,,,
Skinnlavar,,Lavar,HallMark,Skinnlavar,https://sv.wikipedia.org/wiki/Skinnlavar,Leptogium,,,,,,,Lavar,,,,
Sprödlavar,,Lavar,HallMark,Sprodlavar,https://sv.wikipedia.org/wiki/Sprödlavar,Sphaerophorus,,,,,,,Lavar,,,,
Torsklavar,,Lavar,HallMark,Torsklavar,https://sv.wikipedia.org/wiki/Torsklavar,Peltigera aphthosa/P. vermicularis,,,,,,,Lavar,,,,
Hedlavar,,Lavar,HallMark,Hedlavar,https://www.dyntaxa.se/Taxon/Info/1007862,Cetraria aculeata/muricata,,,,,,,Lavar,,,,
Islandslavar,,Lavar,HallMark,Islandslavar,http://artfakta.artdatabanken.se/taxon/228548,Cetraria islandica/ericetorum m.fl.,,,,,,,Lavar,,,,
Navellavar,,Lavar,HallMark,Navellavar,http://artfakta.artdatabanken.se/?&s=navellav&v=1,Umbilicaria,,,,,,,Lavar,,,,
Tuschlav,,Lavar,HallMark,Tuschlav,https://sv.wikipedia.org/wiki/Tuschlav,Lasallia pustulata,,,,,,,Lavar,,,,
Vildlin,,Linväxter,HallMark,Vildlin,https://sv.wikipedia.org/wiki/Vildlin,Linum catharticum,,,,,,,Lavar,,,375,
Kranshakmossa,,Mossor,HallMark,Kranshakmossa,https://sv.wikipedia.org/wiki/Kranshakmossa,Rhytidiadelphus triquetrus,,,,,,,Mossor,Frisk,,,
Gruskammossa,,Mossor,HallMark,Gruskammossa,https://sv.wikipedia.org/wiki/Gruskammossa,Abietinella abietina,,,,,,,Mossor,Torr,,,
Hårbjörnmossa,,Mossor,HallMark,Harbjornmossa,https://sv.wikipedia.org/wiki/H%C3%A5rbj%C3%B6rnmossa,Polytrichum piliferum,,,,,,,Mossor,Torr,,,
Hårnervmossa,,Mossor,HallMark,Harnervmossa,https://sv.wikipedia.org/wiki/H%C3%A5rnervmossa,Campylopus introflexus,,,,,,,Mossor,Torr,,,
Sipperblindia,,Mossor,HallMark,Sipperblindia,,Blindia acuta,,,,,,,,Torr,,,
